stt_booked_at;count_metabase
2023-04-07;58411
2023-03-31;110142
2023-03-27;117538
2023-03-25;92851
2023-04-10;128206
2023-04-08;117907
2023-04-06;113562
2023-04-04;122290
2023-03-29;111411
2023-03-22;50709
2023-03-20;100568
2023-04-12;127068
2023-04-09;27256
2023-04-02;25908
2023-03-24;100408
2023-03-23;92814
2023-03-21;105652
2023-03-17;94025
2023-03-16;101198
2023-03-15;103684
2023-04-14;58733
2023-04-13;125037
2023-04-11;132691
2023-04-05;114192
2023-04-03;126221
2023-04-01;101715
2023-03-30;109656
2023-03-28;118477
2023-03-26;23382
2023-03-19;17404
2023-03-18;84700
